Date,Adj Close,Predict
2011/01/01,2703.2,2703.2
2011/01/08,2755.3,2755.3
2011/01/15,2689.5,2689.5
2011/01/22,2686.9,2686.9
2011/01/29,2769.3,2769.3
2011/02/05,2809.4,2809.4
2011/02/12,2833.9,2833.9
2011/02/19,2781.1,2781.1
2011/02/26,2784.7,2784.7
2011/03/05,2715.6,2715.6
2011/03/12,2643.7,2643.7
2011/03/19,2743.1,2743.1
2011/03/26,2789.6,2789.6
2011/04/02,2780.4,2780.4
2011/04/09,2764.6,2764.6
2011/04/16,2820.2,2820.2
2011/04/23,2873.5,2873.5
2011/04/30,2827.6,2827.6
2011/05/07,2828.5,2828.5
2011/05/14,2803.3,2803.3
2011/05/21,2796.9,2796.9
2011/05/28,2732.8,2732.8
2011/06/04,2643.7,2643.7
2011/06/11,2616.5,2616.5
2011/06/18,2652.9,2652.9
2011/06/25,2816,2816
2011/07/02,2859.8,2859.8
2011/07/09,2789.8,2789.8
2011/07/16,2858.8,2858.8
2011/07/23,2756.4,2756.4
2011/07/30,2532.4,2532.4
2011/08/06,2508,2508
2011/08/13,2341.8,2341.8
2011/08/20,2479.9,2479.9
2011/08/27,2480.3,2480.3
2011/09/03,2468,2468
2011/09/10,2622.3,2622.3
2011/09/17,2483.2,2483.2
2011/09/24,2415.4,2415.4
2011/10/01,2479.4,2479.4
2011/10/08,2667.9,2667.9
2011/10/15,2637.5,2637.5
2011/10/22,2737.1,2737.1
2011/10/29,2686.1,2686.1
2011/11/05,2678.8,2678.8
2011/11/12,2572.5,2572.5
2011/11/19,2441.5,2441.5
2011/11/26,2626.9,2626.9
2011/12/03,2646.9,2646.9
2011/12/10,2555.3,2555.3
2011/12/17,2618.6,2618.6
2011/12/24,2605.1,2605.1
2011/12/31,2674.2,2674.2
2012/01/07,2710.7,2710.7
2012/01/14,2786.7,2786.7
2012/01/21,2816.6,2816.6
2012/01/28,2905.7,2905.7
2012/02/04,2903.9,2903.9
2012/02/11,2951.8,2951.8
2012/02/18,2963.8,2963.8
2012/02/25,2976.2,2976.2
2012/03/03,2988.3,2988.3
2012/03/10,3055.3,3055.3
2012/03/17,3067.9,3067.9
2012/03/24,3091.6,3091.6
2012/03/31,3080.5,3080.5
2012/04/07,3011.3,3011.3
2012/04/14,3000.4,3000.4
2012/04/21,3069.2,3069.2
2012/04/28,2956.3,2956.3
2012/05/05,2933.8,2933.8
2012/05/12,2778.8,2778.8
2012/05/19,2837.5,2837.5
2012/05/26,2747.5,2747.5
2012/06/02,2858.4,2858.4
2012/06/09,2872.8,2872.8
2012/06/16,2892.4,2892.4
2012/06/23,2935.1,2935.1
2012/06/30,2937.3,2937.3
2012/07/07,2908.5,2908.5
2012/07/14,2925.3,2925.3
2012/07/21,2958.1,2958.1
2012/07/28,2967.9,2967.9
2012/08/04,3020.9,3020.9
2012/08/11,3076.6,3076.6
2012/08/18,3069.8,3069.8
2012/08/25,3067,3067
2012/09/01,3136.4,3136.4
2012/09/08,3183.9,3183.9
2012/09/15,3180,3180
2012/09/22,3116.2,3116.2
2012/09/29,3136.2,3136.2
2012/10/06,3044.1,3044.1
2012/10/13,3005.6,3005.6
2012/10/20,2987.9,2987.9
2012/10/27,2982.1,2982.1
2012/11/03,2904.9,2904.9
2012/11/10,2853.1,2853.1
2012/11/17,2966.9,2966.9
2012/11/24,3010.2,3010.2
2012/12/01,2978,2978
2012/12/08,2971.3,2971.3
2012/12/15,3021,3021
2012/12/22,2960.3,2960.3
2012/12/29,3101.7,3101.7
2013/01/05,3125.6,3125.6
2013/01/12,3134.7,3134.7
2013/01/19,3149.7,3149.7
2013/01/26,3179.1,3179.1
2013/02/02,3193.9,3193.9
2013/02/09,3192,3192
2013/02/16,3161.8,3161.8
2013/02/23,3169.7,3169.7
2013/03/02,3244.4,3244.4
2013/03/09,3249.1,3249.1
2013/03/16,3245,3245
2013/03/23,3267.5,3267.5
2013/03/30,3203.9,3203.9
2013/04/06,3294.9,3294.9
2013/04/13,3206.1,3206.1
2013/04/20,3279.3,3279.3
2013/04/27,3378.6,3378.6
2013/05/04,3436.6,3436.6
2013/05/11,3499,3499
2013/05/18,3459.1,3459.1
2013/05/25,3455.9,3455.9
2013/06/01,3469.2,3469.2
2013/06/08,3423.6,3423.6
2013/06/15,3357.3,3357.3
2013/06/22,3403.3,3403.3
2013/06/29,3479.4,3479.4
2013/07/06,3600.1,3600.1
2013/07/13,3587.6,3587.6
2013/07/20,3613.2,3613.2
2013/07/27,3689.6,3689.6
2013/08/03,3660.1,3660.1
2013/08/10,3602.8,3602.8
2013/08/17,3657.8,3657.8
2013/08/24,3589.9,3589.9
2013/08/31,3660,3660
2013/09/07,3722.2,3722.2
2013/09/14,3774.7,3774.7
2013/09/21,3781.6,3781.6
2013/09/28,3807.8,3807.8
2013/10/05,3791.9,3791.9
2013/10/12,3914.3,3914.3
2013/10/19,3943.4,3943.4
2013/10/26,3922,3922
2013/11/02,3919.2,3919.2
2013/11/09,3986,3986
2013/11/16,3991.6,3991.6
2013/11/23,4059.9,4059.9
2013/11/30,4062.5,4062.5
2013/12/07,4001,4001
2013/12/14,4104.7,4104.7
2013/12/21,4156.6,4156.6
2013/12/28,4131.9,4131.9
2014/01/04,4174.7,4174.7
2014/01/11,4197.6,4197.6
2014/01/18,4128.2,4128.2
2014/01/25,4103.9,4103.9
2014/02/01,4125.9,4125.9
2014/02/08,4244,4244
2014/02/15,4263.4,4263.4
2014/02/22,4308.1,4308.1
2014/03/01,4336.2,4336.2
2014/03/08,4245.4,4245.4
2014/03/15,4276.8,4276.8
2014/03/22,4155.8,4155.8
2014/03/29,4127.7,4127.7
2014/04/05,3999.7,3999.7
2014/04/12,4095.5,4095.5
2014/04/19,4075.6,4075.6
2014/04/26,4123.9,4123.9
2014/05/03,4071.9,4071.9
2014/05/10,4090.6,4090.6
2014/05/17,4185.8,4185.8
2014/05/24,4242.6,4242.6
2014/05/31,4321.4,4321.4
2014/06/07,4310.6,4310.6
2014/06/14,4368,4368
2014/06/21,4397.9,4397.9
2014/06/28,4485.9,4485.9
2014/07/05,4415.5,4415.5
2014/07/12,4432.1,4432.1
2014/07/19,4449.6,4449.6
2014/07/26,4352.6,4352.6
2014/08/02,4370.9,4370.9
2014/08/09,4464.9,4464.9
2014/08/16,4538.5,4538.5
2014/08/23,4580.3,4580.3
2014/08/30,4582.9,4582.9
2014/09/06,4567.6,4567.6
2014/09/13,4579.8,4579.8
2014/09/20,4512.2,4512.2
2014/09/27,4475.6,4475.6
2014/10/04,4276.2,4276.2
2014/10/11,4258.4,4258.4
2014/10/18,4483.7,4483.7
2014/10/25,4630.7,4630.7
2014/11/01,4632.5,4632.5
2014/11/08,4688.5,4688.5
2014/11/15,4713,4713
2014/11/22,4791.6,4791.6
2014/11/29,4780.8,4780.8
2014/12/06,4653.6,4653.6
