53.41058,-2.97794,PPLA2,Liverpool,GB,864122
54.59682,-5.92541,PPLA,Belfast,GB,274770
52.40656,-1.51217,PPLA2,Coventry,GB,359262
53.79648,-1.54785,PPLA2,Leeds,GB,455123
51.48,-3.18,PPLA,Cardiff,GB,447287
51.45523,-2.59665,PPLA2,Bristol,GB,617280
51.50853,-0.12574,PPLC,London,GB,7556900
52.48142,-1.89983,PPLA2,Birmingham,GB,984333
53.38297,-1.4659,PPLA2,Sheffield,GB,685368
51.58774,-2.99835,PPLA2,Newport,GB,306844
52.6386,-1.13169,PPLA2,Leicester,GB,508916
53.48095,-2.23743,PPLA2,Manchester,GB,395515
51.45625,-0.97113,PPLA2,Reading,GB,318014
50.37153,-4.14305,PPLA2,Plymouth,GB,260203
55.86515,-4.25763,PPLA2,Glasgow,GB,591620
53.76282,-2.70452,PPLA2,Preston,GB,313332
51.62079,-3.94323,PPLA2,Swansea,GB,300352
51.87967,-0.41748,PPLA2,Luton,GB,258018
51.53782,0.71433,PPLA2,Southend-on-Sea,GB,295310
55.15402,61.42915,PPLA,Chelyabinsk,RU,1062919
56.32867,44.00205,PPLA,Nizhniy Novgorod,RU,1284164
59.93863,30.31413,PPLA,Saint Petersburg,RU,5028000
56.01839,92.86717,PPLA,Krasnoyarsk,RU,927200
56.49771,84.97437,PPLA,Tomsk,RU,485519
55.0415,82.9346,PPLA,Novosibirsk,RU,1419007
55.75222,37.61556,PPLC,Moscow,RU,10381222
46.47747,30.73262,PPLA,Odessa,UA,1001558
49.55342,25.58918,PPLA,Ternopil,UA,235676
50.45466,30.5238,PPLC,Kyiv,UA,2797553
48.51134,34.6021,PPLA2,Kamianske,UA,248575
48.4593,35.03865,PPLA,Dnipro,UA,1032822
47.82289,35.19031,PPLA,Zaporizhia,UA,796217
49.83826,24.02324,PPLA,Lviv,UA,717803
47.90966,33.38044,PPLA2,Kryvyi Rih,UA,652380
48.9215,24.70972,PPLA,Ivano-Frankivsk,UA,204200
9.53795,-13.67729,PPLC,Conakry,GN,1767200
45.81444,15.97798,PPLC,Zagreb,HR,698966
45.32673,14.44241,PPLA,Rijeka,HR,141172
43.50891,16.43915,PPLA,Split,HR,176314
-6.21462,106.84513,PPLC,Jakarta,ID,8540121
13.68935,-89.18718,PPLC,San Salvador,SV,525990
37.95,58.38333,PPLC,Ashgabat,TM,727700
-33.86785,151.20732,PPLA,Sydney,AU,4627345
-32.92953,151.7801,PPLA2,Newcastle,AU,308308
-41.43876,147.13467,PPLA2,Launceston,AU,106153
-42.87936,147.32941,PPLA,Hobart,AU,216656
-12.46113,130.84185,PPLA,Darwin,AU,129062
-37.814,144.96332,PPLA,Melbourne,AU,4246375
-35.28346,149.12807,PPLC,Canberra,AU,367752
-34.92866,138.59863,PPLA,Adelaide,AU,1225235
-27.46794,153.02809,PPLA,Brisbane,AU,2189878
-31.95224,115.8614,PPLA,Perth,AU,1896548
-34.424,150.89345,PPLA2,Wollongong,AU,292190
48.78232,9.17702,PPLA,Stuttgart,DE,589793
51.96236,7.62571,PPLA2,Münster,DE,270184
50.93333,6.95,PPLA2,Köln,DE,963395
51.31667,9.5,PPLA2,Kassel,DE,194501
49.00937,8.40444,PPLA2,Karlsruhe,DE,283799
49.98419,8.2791,PPLA,Mainz,DE,184997
51.05089,13.73832,PPLA,Dresden,DE,486854
48.13743,11.57549,PPLA,Munich,DE,1260391
52.52437,13.41053,PPLC,Berlin,DE,3426354
51.22172,6.77616,PPLA,Düsseldorf,DE,573057
47.9959,7.85222,PPLA2,Freiburg,DE,215966
50.08258,8.24932,PPLA,Wiesbaden,DE,272432
52.37052,9.73322,PPLA,Hannover,DE,515140
48.37154,10.89851,PPLA2,Augsburg,DE,259196
49.87167,8.65027,PPLA2,Darmstadt,DE,140385
52.39886,13.06566,PPLA,Potsdam,DE,145292
53.55073,9.99302,PPLA,Hamburg,DE,1739117
28.09973,-15.41343,PPLA,Las Palmas de Gran Canaria,ES,381847
40.96882,-5.66388,PPLA2,Salamanca,ES,155619
41.38879,2.15899,PPLA,Barcelona,ES,1621537
43.31283,-1.97499,PPLA2,Donostia / San Sebastián,ES,185357
42.84998,-2.67268,PPLA,Gasteiz / Vitoria,ES,235661
37.89155,-4.77275,PPLA2,Córdoba,ES,328428
41.65518,-4.72372,PPLA,Valladolid,ES,317864
43.46472,-3.80444,PPLA,Santander,ES,182700
39.56939,2.65024,PPLA,Palma,ES,401270
36.72016,-4.42034,PPLA2,Málaga,ES,568305
41.65606,-0.87734,PPLA,Zaragoza,ES,674317
37.38283,-5.97317,PPLA,Sevilla,ES,703206
43.26271,-2.92528,PPLA2,Bilbao,ES,354860
42.81687,-1.64323,PPLA,Pamplona,ES,198491
39.98567,-0.04935,PPLA2,Castelló de la Plana,ES,180005
37.26638,-6.94004,PPLA2,Huelva,ES,148806
37.18817,-3.60667,PPLA2,Granada,ES,234325
40.4165,-3.70256,PPLC,Madrid,ES,3255944
39.46975,-0.37739,PPLA,Valencia,ES,814208
42.34106,-3.70184,PPLA2,Burgos,ES,178966
37.98704,-1.13004,PPLA,Murcia,ES,436870
